Gene,P.Value,Log FC,expression,CC
FCHSD2,0.0204861,0.25224305,Down regulated,
PHC1,0.0204897,0.13866357,Down regulated,115482686
BNC2,0.020502,0.2000215,Down regulated,115482686
TRIM63,0.0205288,0.20932522,Down regulated,100820829
GPR172A,0.0205514,0.22626405,Down regulated,
P2RY14,0.0205794,0.37770376,Down regulated,
LYVE1,0.0206658,0.34312192,Down regulated,111216276
RGL1,0.0207035,0.2120187,Down regulated,111240474
STK3,0.0207424,0.30592471,Down regulated,100506658
FZD7,0.0207727,0.50689093,Down regulated,
PPP1R13L,0.0208202,0.55153431,Down regulated,115482686
SYNPO,0.020837,0.4517397,Down regulated,100820829
RPL30,0.0208819,0.23800732,Down regulated,115482686
SAP30L,0.0208925,0.29083331,Down regulated,115482686
P4HB,0.0209333,0.35300781,Down regulated,100506658
ARRDC2,0.0209578,0.53240835,Down regulated,122394733
CNOT4,0.0209868,0.27765705,Down regulated,115482686
FKBP4,0.0211288,0.68873367,Down regulated,100506658
LOC100652953,0.021133,0.44956718,Down regulated,
LOC100128950,0.021137,0.11112825,Down regulated,
LSR,0.0212401,0.229492,Down regulated,111216276
RMND5B,0.0212473,0.26896511,Down regulated,115482686
GALNTL4,0.0212715,0.33762017,Down regulated,
ABHD16B,0.0212958,0.17989533,Down regulated,113455421
RPS10P7,0.0213197,0.3245882,Down regulated,
RPL9,0.0213216,0.20849518,Down regulated,115482686
LOC100652922,0.0214851,0.19568914,Down regulated,
NPNT,0.0215062,0.34356554,Down regulated,728358
LOC442366,0.0215083,0.21697503,Down regulated,
ZNRF3,0.0215922,0.33684912,Down regulated,
NFATC4,0.0216427,0.30167163,Down regulated,115482686
DNAJA1,0.0216504,0.87624308,Down regulated,115482686
KLHL13,0.0217212,0.18715799,Down regulated,111240474
BST2,0.0217788,0.64884972,Down regulated,122394733
ZCCHC10,0.0217869,0.26212963,Down regulated,
PRDX3,0.0218156,0.43376876,Down regulated,100506658
PGAM2,0.0219609,0.71692566,Down regulated,115482686
NCK1,0.0219623,0.37401198,Down regulated,115482686
YAP1,0.0220083,0.48083524,Down regulated,115482686
PPIB,0.0220592,0.3771486,Down regulated,100506658
RPL7,0.022159,0.2472353,Down regulated,100130932
SMAD1,0.0221757,0.41363082,Down regulated,100506658
LOC100128081,0.0222646,0.30661893,Down regulated,
PRADC1,0.0222987,0.2606936,Down regulated,
CBR3,0.0224714,0.26044567,Down regulated,113455421
CTNNBL1,0.022487,0.20571156,Down regulated,115482686
RPL34,0.0225066,0.23892632,Down regulated,111089941
OGG1,0.0225384,0.27512488,Down regulated,100506658
GLIS2,0.0225705,0.23572727,Down regulated,115482686
C9orf114,0.0226737,0.36409079,Down regulated,
TNFAIP1,0.0228853,0.18811623,Down regulated,115482686
PPM1N,0.022906,0.43599286,Down regulated,115482686
FADD,0.0229959,0.32137242,Down regulated,115482686
SLC2A8,0.0231169,0.24044883,Down regulated,111216276
SIVA1,0.0233222,0.27323911,Down regulated,113455421
UPRT,0.0233351,0.15222421,Down regulated,113455421
TMEM43,0.0233451,0.29165923,Down regulated,111089941
C12orf23,0.0233901,0.30849246,Down regulated,
MAX,0.0235221,0.31018334,Down regulated,115482686
UNC13B,0.023543,0.2577235,Down regulated,111240474
ZGLP1,0.023553,0.262543,Down regulated,115482686
IFITM3,0.0235619,0.5144033,Down regulated,100506658
RPL23A,0.0235956,0.48301421,Down regulated,115482686
RPS17,0.023604,0.20318311,Down regulated,113455421
ZNF114,0.0237214,0.16416035,Down regulated,115482686
ARMC7,0.0237216,0.28555165,Down regulated,
CCDC80,0.0238105,0.4621343,Down regulated,401138
CCNG1,0.0238112,0.31966423,Down regulated,115482686
DNAJA1P5,0.0240923,0.87250933,Down regulated,
TMEM140,0.0242647,0.36227769,Down regulated,
PHF17,0.0242848,0.45137565,Down regulated,
UNC119B,0.0242964,0.34733292,Down regulated,111240474
TPST1,0.0243723,0.49230141,Down regulated,111216276
ZBTB40,0.0243885,0.3116804,Down regulated,115482686
CHRNA5,0.0243889,0.21934446,Down regulated,
CRYZ,0.0244919,0.43925781,Down regulated,111240474
FMOD,0.0245336,0.33578614,Down regulated,728358
RRAS2,0.0246332,0.43765504,Down regulated,111089941
ECSCR,0.0246724,0.36940188,Down regulated,113455421
RBM23,0.024673,0.45118683,Down regulated,115482686
FAM89B,0.024815,0.23994242,Down regulated,122394733
ADCK3,0.0248482,0.31757366,Down regulated,
FXR1,0.0248837,0.35445689,Down regulated,440275
TMEM200B,0.0249537,0.11596167,Down regulated,
HSP90B3P,0.0249644,0.47793507,Down regulated,
PTAR1,0.0249874,0.25817774,Down regulated,122394733
LOC100287195,0.0250143,0.31814212,Down regulated,
SQSTM1,0.0251632,0.31805741,Down regulated,111089941
LTBP1,0.0251913,0.34622774,Down regulated,100506658
EDEM3,0.0253576,0.21744961,Down regulated,111089941
PAGE2,0.0255591,0.1117032,Down regulated,
RNF7,0.0258145,0.22222249,Down regulated,115482686
DEDD2,0.0258838,0.50695058,Down regulated,113455421
ARAP1,0.0259015,0.30275014,Down regulated,113455421
CAB39,0.0259046,0.28249192,Down regulated,100820829
TP53TG1,0.0259938,0.30067873,Down regulated,
HSCB,0.0260335,0.29143809,Down regulated,113455421
GNA12,0.026041,0.35937679,Down regulated,122394733
ST13,0.0260602,0.43521054,Down regulated,122394733
PTOV1,0.0261247,0.3019812,Down regulated,113455421
RPSAP52,0.0262442,0.27926113,Down regulated,
USF2,0.0262594,0.36197404,Down regulated,115482686
ABCC3,0.0262635,0.25484957,Down regulated,111216276
SERF2,0.0262678,0.28991708,Down regulated,115482686
TRIM4,0.0262991,0.33637699,Down regulated,122394733
ZNF623,0.0263301,0.20510454,Down regulated,115482686
STRA13,0.0263377,0.24297863,Down regulated,
COLEC12,0.0263643,0.63755734,Down regulated,
C1R,0.0263911,0.50412837,Down regulated,113455421
RELA,0.0265057,0.46924599,Down regulated,115482686
SERPINA3,0.026527,1.3444717,Down regulated,728358
PDE7A,0.0265311,0.299143,Down regulated,111240474
SELM,0.0266441,0.2665261,Down regulated,
AFAP1L1,0.0266753,0.30671957,Down regulated,111240474
GCC1,0.0267535,0.36580621,Down regulated,111240474
ZNF790,0.0267544,0.35300802,Down regulated,115482686
LINC00029,0.0268172,0.33998718,Down regulated,
SOCS4,0.0268336,0.27510218,Down regulated,
GAN,0.0268569,0.31914965,Down regulated,122394733
POR,0.0268673,0.29120567,Down regulated,111240474
SEC11A,0.0269346,0.27491545,Down regulated,
SNORA73A,0.0270597,0.78918628,Down regulated,
ZNF320,0.0271012,0.28745932,Down regulated,115482686
HLA-F-AS1,0.0271169,0.27913874,Down regulated,
CASK,0.0272112,0.3738339,Down regulated,401138
SIRT2,0.0273907,0.3575001,Down regulated,115482686
UBE2A,0.0274186,0.22302557,Down regulated,113455421
IFIT2,0.0274215,0.29339647,Down regulated,111089941
C18orf55,0.0274753,0.22592603,Down regulated,
TM4SF1,0.0275016,0.36944455,Down regulated,
COPS2,0.0275341,0.27539697,Down regulated,115482686
ZNF235,0.0275421,0.17670101,Down regulated,115482686
RPL35,0.0275811,0.18347615,Down regulated,122394733
TULP3,0.0276342,0.31313915,Down regulated,115482686
SOS1,0.0277107,0.33803886,Down regulated,122394733
LAMB2,0.0277439,0.40497741,Down regulated,728358
RNF7,0.0277469,0.21021341,Down regulated,115482686
CNOT4,0.0277904,0.27051543,Down regulated,115482686
RNFT1,0.0277949,0.27863504,Down regulated,111089941
FBXL19-AS1,0.0277971,0.35617775,Down regulated,
HMGCR,0.0278046,0.40451046,Down regulated,111089941
FANCB,0.0278129,0.49537006,Down regulated,113455421
PKDCC,0.0278415,0.3923556,Down regulated,
FGF2,0.0278461,0.50474848,Down regulated,115482686
HVCN1,0.0278683,0.47153825,Down regulated,
IL18BP,0.0279782,0.25766708,Down regulated,113455421
SULT1A4,0.0280187,0.46233877,Down regulated,122394733
ADAM29,0.0280574,0.1008954,Down regulated,
FAM189B,0.0281002,0.19857475,Down regulated,
COL5A1,0.0281006,0.20913712,Down regulated,728358
DRG1,0.0281278,0.21646427,Down regulated,440275
SDHD,0.0282283,0.24609973,Down regulated,
GHRLOS,0.0282685,0.33750113,Down regulated,
HSPB1,0.0282905,0.83321208,Down regulated,100820829
ARPP19,0.0283083,0.2888935,Down regulated,113455421
HIST1H1C,0.0283363,0.52481544,Down regulated,
ANGPT2,0.0284236,0.72952171,Down regulated,728358
SDCBP,0.0285017,0.35786332,Down regulated,283652
RPL17,0.0285306,0.21825604,Down regulated,115482686
FLT3LG,0.0285771,0.14311482,Down regulated,111240474
GNPDA1,0.0285933,0.27769647,Down regulated,122394733
RPL29,0.0286519,0.31251093,Down regulated,122394733
C10orf116,0.0286859,0.65583613,Down regulated,
RPL10,0.0287751,0.27023894,Down regulated,100506658
FKBP15,0.0288064,0.31805976,Down regulated,111216276
PSMB8,0.0288368,0.42050155,Down regulated,115482686
CCDC127,0.0288473,0.25223043,Down regulated,
HCP5,0.0288643,0.27880886,Down regulated,
C7orf60,0.0288997,0.3309704,Down regulated,
AZI2,0.0289683,0.30558853,Down regulated,122394733
XPO1,0.0290274,0.46677706,Down regulated,100506658
GPR146,0.0290399,0.38667659,Down regulated,
IFI27,0.0290521,0.58263281,Down regulated,
GPR126,0.0290543,0.17787723,Down regulated,
GPR116,0.0290856,0.48809907,Down regulated,
TJP2,0.0290969,0.43605231,Down regulated,115482686
LOC100506136,0.0291186,0.22318064,Down regulated,
CD151,0.0292218,0.48267864,Down regulated,401138
HSP90B1,0.0292394,0.41781851,Down regulated,100506658
RPSA,0.0292581,0.2718769,Down regulated,115482686
CTNNA1,0.0292788,0.36328363,Down regulated,111240474
NAMPT,0.0293054,0.40907417,Down regulated,111240474
EIF4G2,0.0294752,0.39439864,Down regulated,111240474
MEF2B,0.029495,0.31784052,Down regulated,115482686
FAM43A,0.0295962,0.50639352,Down regulated,
TBPL1,0.0296716,0.3179436,Down regulated,122394733
RUFY1,0.0296792,0.29133368,Down regulated,122394733
ZNF264,0.0297333,0.28094316,Down regulated,115482686
RPS13,0.0297779,0.20805091,Down regulated,115482686
HSPA1A,0.0298803,1.40832635,Down regulated,100506658
FTL,0.0298934,0.48548983,Down regulated,122394733
MGP,0.0298975,0.55044075,Down regulated,728358
SPTSSA,0.0299163,0.30472671,Down regulated,111089941
KCTD11,0.0299394,0.253256,Down regulated,
CFI,0.0299958,0.71381552,Down regulated,111216276
RAMP3,0.0300289,0.35008395,Down regulated,
SPR,0.0300754,0.79248085,Down regulated,113455421
CARD6,0.030088,0.4819517,Down regulated,
KLHL12,0.0301034,0.11017035,Down regulated,111240474
JAM2,0.030161,0.39763002,Down regulated,
GALK1,0.0302874,0.29807923,Down regulated,122394733
CD8A,0.0303719,0.32427622,Down regulated,
NOD1,0.0303797,0.19538804,Down regulated,122394733
ZNF32,0.0306099,0.22588378,Down regulated,115482686
PGRMC2,0.0306304,0.25746174,Down regulated,111089941
NUDT9,0.0306561,0.41138364,Down regulated,113455421
CHDH,0.030669,0.32056485,Down regulated,
HSPA4,0.0307787,0.50707803,Down regulated,115482686
TMEM9,0.0307928,0.19954438,Down regulated,
ILK,0.0308063,0.22865522,Down regulated,246176
DNAJC18,0.0308604,0.41667053,Down regulated,
TMEM217,0.0308777,0.22146774,Down regulated,
NR0B1,0.0308788,0.46016029,Down regulated,115482686
RSG1,0.0308933,0.10915212,Down regulated,
FCRL5,0.03091,0.23629966,Down regulated,
CLDN12,0.0309132,0.1264966,Down regulated,
RNF145,0.0310542,0.38919375,Down regulated,111089941
MASP2,0.0312086,0.20397001,Down regulated,113455421
CR2,0.0312088,0.34326177,Down regulated,113455421
MED13,0.0312102,0.24493567,Down regulated,115482686
RPL22,0.0312427,0.3401219,Down regulated,100130932
SPINLW1-WFDC6,0.0313941,0.08921274,Down regulated,
ARHGAP42,0.0314726,0.39390791,Down regulated,
FTL,0.0315825,0.47245412,Down regulated,122394733
AKR1C3,0.0316662,0.62160681,Down regulated,115482686
LGALS3,0.0318802,0.74200478,Down regulated,728358
THRA,0.0319075,0.41218362,Down regulated,115482686
SIPA1,0.0319657,0.32748113,Down regulated,100506658
PLA2G12A,0.0320477,0.27992826,Down regulated,122394733
EEF1A1,0.0320582,0.36333765,Down regulated,115482686
ZNF615,0.0321361,0.34056862,Down regulated,115482686
BST2,0.032178,0.664702,Down regulated,122394733
SPEG,0.0323158,0.25985602,Down regulated,115482686
MEF2B,0.0324313,0.35340061,Down regulated,115482686
DUSP9,0.0324447,0.33332779,Down regulated,115482686
SLC2A12,0.032511,0.2663016,Down regulated,111216276
PABPC4L,0.0325382,0.19150283,Down regulated,100130932
MKLN1,0.0325439,0.30853771,Down regulated,113455421
PMVK,0.0325559,0.18155693,Down regulated,111240474
KAL1,0.0325951,0.61958141,Down regulated,
AHNAK,0.0326517,0.48032699,Down regulated,115482686
ZNF428,0.0326532,0.25270664,Down regulated,
KCTD4,0.0328538,0.58910236,Down regulated,
LRRC3C,0.0329029,0.42832735,Down regulated,
WWTR1,0.0329106,0.37242576,Down regulated,115482686
CHRM4,0.0329829,0.80635453,Down regulated,
C1orf43,0.033076,0.40244861,Down regulated,111240474
LRP10,0.0330829,0.33522156,Down regulated,111216276
GPX6,0.0331617,0.07812177,Down regulated,
TBC1D2B,0.0332377,0.35991186,Down regulated,111240474
GPER,0.033255,0.41973834,Down regulated,
ALDH16A1,0.0332895,0.22341515,Down regulated,111216276
SLAMF1,0.033362,0.08549692,Down regulated,113455421
SNRNP48,0.0334221,0.31820666,Down regulated,113455421
RPSA,0.0334237,0.25225929,Down regulated,115482686
RAF1,0.0334632,0.21767221,Down regulated,115482686
C14orf41,0.03347,0.19908701,Down regulated,
PROSC,0.0335139,0.28674044,Down regulated,
ESPNL,0.0335417,0.36954041,Down regulated,122394733
SHE,0.0335727,0.18471399,Down regulated,
ZHX1,0.0335882,0.41202202,Down regulated,115482686
ST13,0.0337216,0.32324583,Down regulated,122394733
SEMA3D,0.0337282,0.4763895,Down regulated,
RPUSD2,0.0337478,0.26460607,Down regulated,
MORC2,0.0337832,0.29483692,Down regulated,115482686
BBS10,0.0337917,0.3353308,Down regulated,
RPS2,0.0338269,0.31992153,Down regulated,115482686
TAGLN,0.0338774,0.37110889,Down regulated,122394733
LSM2,0.0338892,0.22101689,Down regulated,115482686
MSL1,0.0338951,0.26282019,Down regulated,115482686
TMEM51,0.0339044,0.65981607,Down regulated,
LAMA4,0.0339433,0.37445649,Down regulated,728358
CRK,0.0339499,0.38099795,Down regulated,100506658
NMB,0.0340342,0.59258506,Down regulated,
BEST3,0.0340398,0.28465572,Down regulated,
PLSCR4,0.034045,0.59832126,Down regulated,
IGBP1,0.0340833,0.22216677,Down regulated,122394733
BET1L,0.0341223,0.2561098,Down regulated,111240474
TRIM14,0.0341228,0.37754036,Down regulated,113455421
FSD1,0.0341325,0.27316819,Down regulated,115482686
SMO,0.0341634,0.33336611,Down regulated,113455421
STARD3NL,0.0342244,0.40083213,Down regulated,111240474
SPARC,0.0343097,0.5461599,Down regulated,728358
SFT2D1,0.0343563,0.30786048,Down regulated,
EEF1G,0.0343977,0.23339817,Down regulated,115482686
ABHD3,0.0344519,0.38606094,Down regulated,
MTMR11,0.0344582,0.21644153,Down regulated,122394733
TBL1X,0.0344878,0.28026131,Down regulated,115482686
HPS6,0.0345422,0.36077347,Down regulated,111089941
LYPLA1,0.0345658,0.2497339,Down regulated,111089941
C1S,0.0345941,0.66689672,Down regulated,
RPL26L1,0.0346157,0.22187127,Down regulated,113455421
TIPARP,0.0346921,0.33598254,Down regulated,115482686
ITPR2,0.0347079,0.37293208,Down regulated,111089941
KRT83,0.0348075,0.55074024,Down regulated,111240474
EIF1AD,0.034837,0.36987729,Down regulated,115482686
HTR1B,0.0348738,0.26811504,Down regulated,111089941
ZNF384,0.0349517,0.29332408,Down regulated,115482686
C16orf5,0.0350833,0.30788834,Down regulated,
TMEM204,0.0351024,0.40520454,Down regulated,
RHOQ,0.0351242,0.28049262,Down regulated,113455421
RPL23AP53,0.0351786,0.31902621,Down regulated,
TEAD1,0.0352489,0.22346592,Down regulated,113455421
LOC100128063,0.0352712,0.10480679,Down regulated,
MAP4K3,0.0353057,0.20459607,Down regulated,122394733
CCNG1,0.0353286,0.23139753,Down regulated,115482686
STEAP3,0.0353466,0.43889329,Down regulated,122394733
SERHL2,0.0353571,0.51135287,Down regulated,
SLMAP,0.0353687,0.29708462,Down regulated,
IMMP2L,0.0353795,0.31496612,Down regulated,
UTRN,0.0354005,0.30578267,Down regulated,100506658
ZNF768,0.035409,0.32500849,Down regulated,115482686
CCL19,0.0354486,0.32872158,Down regulated,
ZFP82,0.0354858,0.27626083,Down regulated,115482686
LOC100270680,0.0355422,0.13489,Down regulated,
SERPINA3,0.0355716,1.16837413,Down regulated,728358
ID3,0.0356349,0.53851843,Down regulated,115482686
STARD8,0.035642,0.42613506,Down regulated,389400
RPL32,0.0356769,0.18723409,Down regulated,122394733
LILRB5,0.0356813,0.39286111,Down regulated,
TMED5,0.0357719,0.31136387,Down regulated,111089941
RPS6,0.0357874,0.17636108,Down regulated,440275
CTNNBL1,0.0357944,0.21681218,Down regulated,115482686
SOX15,0.0357992,0.15780094,Down regulated,115482686
SLC16A2,0.0358844,0.39196986,Down regulated,
ZMAT5,0.0359128,0.2595232,Down regulated,113455421
LOC100130776,0.0360962,0.20787691,Down regulated,
CTNNA1,0.0361255,0.28725292,Down regulated,111240474
CCDC102A,0.0362484,0.32244277,Down regulated,
MRPS14,0.0362495,0.25011501,Down regulated,64968
VGLL4,0.0362811,0.36148443,Down regulated,115482686
TAGLN,0.0362883,0.40415544,Down regulated,122394733
EEF1A1,0.0363135,0.32968852,Down regulated,115482686
CHCHD7,0.0363357,0.40574607,Down regulated,
ULK2,0.0363532,0.20895047,Down regulated,122394733
MARCH2,0.0363827,0.34626389,Down regulated,
CYP19A1,0.0363944,0.07293166,Down regulated,111089941
CP,0.0364975,0.72938631,Down regulated,111089941
SKP1,0.0364987,0.23315919,Down regulated,115482686
MRGPRG,0.0365033,0.28671795,Down regulated,
CHORDC1,0.0365451,0.84313537,Down regulated,
AKIP1,0.0366738,0.2159486,Down regulated,113455421
MYH7,0.0367006,0.3337544,Down regulated,100820829
HOXB9,0.036731,0.28446327,Down regulated,115482686
TTC19,0.0367681,0.18818535,Down regulated,
CENPB,0.0368872,0.32303803,Down regulated,115482686
CIB1,0.0369788,0.3065971,Down regulated,115482686
ZNF461,0.0370623,0.17918244,Down regulated,115482686
SPIRE1,0.0370641,0.19338221,Down regulated,113455421
S100A10,0.0372491,0.94069466,Down regulated,728358
RPS19,0.0372826,0.33035237,Down regulated,113455421
TRIM56,0.0373086,0.30864624,Down regulated,113455421
BGLAP,0.0373649,0.36941214,Down regulated,111089941
FNDC3B,0.0374294,0.39903637,Down regulated,
PML,0.0374464,0.24094998,Down regulated,115482686
DAD1,0.0376264,0.20853183,Down regulated,111216276
RIC8A,0.0376678,0.26155075,Down regulated,122394733
SMARCA1,0.0377955,0.26265033,Down regulated,115482686
TMEM60,0.0378041,0.29067227,Down regulated,
THAP4,0.0378211,0.20027972,Down regulated,115482686
AKT1S1,0.0378622,0.29531305,Down regulated,113455421
PGD,0.0378792,0.3573192,Down regulated,115482686
CSMD2,0.0379053,0.18682789,Down regulated,
PGF,0.0379114,0.52962808,Down regulated,111216276
PSMG3,0.0379288,0.28262128,Down regulated,100506658
CD63,0.0379422,0.38563287,Down regulated,283652
DCAF4L2,0.037959,0.15307098,Down regulated,
PDK4,0.0379745,0.63056949,Down regulated,
SERPINA3,0.038001,1.38844923,Down regulated,728358
HSP90AA1,0.0380629,0.68694312,Down regulated,100506658
BAG2,0.0381242,0.40728248,Down regulated,120379
GPR133,0.0381302,0.20465181,Down regulated,
CHI3L1,0.0382981,0.79084979,Down regulated,111089941
DHRSX,0.0383022,0.29135635,Down regulated,
ZCRB1,0.0383143,0.20628306,Down regulated,113455421
C10orf26,0.0383318,0.30363713,Down regulated,
PPID,0.038375,0.50073085,Down regulated,115482686
RPLP1,0.0384807,0.17481377,Down regulated,122394733
MARCH3,0.0385118,0.29919919,Down regulated,
TP53INP2,0.038563,0.40717341,Down regulated,115482686
PRPF40A,0.0386583,0.42949169,Down regulated,113455421
TMEM216,0.0386788,0.37878634,Down regulated,111240474
FKSG2,0.0386912,0.2470923,Down regulated,
DDX23,0.038713,0.16969739,Down regulated,115482686
AP1S2,0.0387276,0.39812161,Down regulated,111240474
FKBP14,0.038737,0.23392121,Down regulated,111089941
RPS10,0.0389243,0.20159373,Down regulated,113455421
TWF2,0.0389256,0.28785102,Down regulated,122394733
GEMIN6,0.0389267,0.35422657,Down regulated,113455421
JHDM1D,0.0389629,0.33375725,Down regulated,
MED28,0.0389697,0.17776995,Down regulated,115482686
SULF1,0.0390016,0.56648556,Down regulated,728358
ARHGAP5,0.0390394,0.29618661,Down regulated,111089941
LAMB2,0.0390437,0.33100452,Down regulated,728358
CAPN5,0.0391727,0.42266449,Down regulated,122394733
GMFB,0.0392422,0.25369256,Down regulated,
RPS7P5,0.0392561,0.36976163,Down regulated,
NOB1,0.0392701,0.20246233,Down regulated,113455421
VAT1,0.0393604,0.36900257,Down regulated,113455421
ZNF614,0.0393646,0.27295614,Down regulated,115482686
ZDHHC7,0.0393825,0.25059461,Down regulated,111089941
IRF2BP2,0.0394383,0.45454905,Down regulated,115482686
USP35,0.0394461,0.23600917,Down regulated,115482686
COL4A2,0.0394773,0.63391977,Down regulated,728358
PGCP,0.0395214,0.35308768,Down regulated,
TMED10,0.039612,0.33657861,Down regulated,283652
PNRC1,0.0396965,0.29793879,Down regulated,115482686
RPL38,0.039748,0.17383922,Down regulated,122394733
IL9R,0.0397644,0.34872918,Down regulated,
FAM165B,0.0398262,0.28185163,Down regulated,
ASS1,0.0399195,0.28881434,Down regulated,111089941
TPD52L1,0.0399637,0.51154387,Down regulated,122394733
LOC728431,0.0399918,0.2510522,Down regulated,
DENND2D,0.0400924,0.68809996,Down regulated,113455421
GLIS3,0.0401076,0.20601128,Down regulated,115482686
C10orf114,0.0402213,0.40566615,Down regulated,
NTN1,0.0403681,0.36584275,Down regulated,401138
FLJ41200,0.0403726,0.44839834,Down regulated,
PDGFC,0.0403817,0.43960412,Down regulated,111089941
DNAJC1,0.0404548,0.22044907,Down regulated,111089941
POLR2J4,0.0404647,0.16075974,Down regulated,
MBOAT7,0.040489,0.36487058,Down regulated,111089941
C5orf54,0.0405294,0.32495732,Down regulated,
DDOST,0.0405762,0.22902182,Down regulated,111089941
LGALS3,0.0406288,0.44541198,Down regulated,728358
CRYGS,0.0407254,0.24933836,Down regulated,
SGCE,0.0408007,0.29081244,Down regulated,
IGLL1,0.0408533,0.92617988,Down regulated,111089941
NECAP2,0.0409176,0.256843,Down regulated,
GYG1,0.0409401,0.35224828,Down regulated,111240474
SNORA71C,0.0409775,0.27021734,Down regulated,
LOC100128288,0.041458,0.35427294,Down regulated,
RPS5,0.0414958,0.23859904,Down regulated,100130932
GPR156,0.0415548,0.09368542,Down regulated,
ZFAND2A,0.0416143,0.44889868,Down regulated,115482686
LINC00086,0.0416164,0.17900652,Down regulated,
TNC,0.0416347,0.38263597,Down regulated,728358
P4HA1,0.0417067,0.52401357,Down regulated,111089941
TUBB6,0.0418115,0.7182424,Down regulated,115482686
MFAP1,0.0420298,0.23520598,Down regulated,115482686
FMO3,0.0422866,0.35196249,Down regulated,
PARD3,0.0422929,0.23394027,Down regulated,111240474
FAM120A,0.0423132,0.2728809,Down regulated,115482686
ZIC5,0.0423733,0.31526041,Down regulated,115482686
FRZB,0.0423982,0.50380466,Down regulated,122394733
BTN3A2,0.0424323,0.31708745,Down regulated,111216276
CD3D,0.0424347,0.36709911,Down regulated,122394733
AQP4,0.0424528,0.71866837,Down regulated,100506658
IGBP1,0.0424824,0.38149744,Down regulated,122394733
RC3H2,0.042491,0.40471031,Down regulated,111216276
RFX4,0.0428455,0.21081858,Down regulated,115482686
ST13,0.0428958,0.37657083,Down regulated,122394733
EPC2,0.0429644,0.24840838,Down regulated,
ECE1,0.0430041,0.31982333,Down regulated,111216276
SCARNA17,0.0430151,0.57022776,Down regulated,
NEAT1,0.0430768,0.55553585,Down regulated,
RRAS2,0.0430994,0.46247861,Down regulated,111089941
NR1H2,0.0431094,0.37326164,Down regulated,115482686
TMEM133,0.043125,0.29456526,Down regulated,
FUT9,0.0431391,0.36143412,Down regulated,
TAZ,0.0431577,0.29396644,Down regulated,
BET1,0.0431715,0.26110733,Down regulated,111216276
SLC22A13,0.0432007,0.20780435,Down regulated,111089941
SNORD17,0.0432035,0.81433578,Down regulated,
ZNF295-AS1,0.0432464,0.17034041,Down regulated,
CR1L,0.0433045,0.19302708,Down regulated,122394733
PCDHGA8,0.0433219,0.08835425,Down regulated,
RPS23,0.0434251,0.24533627,Down regulated,111089941
EIF2S2,0.0436394,0.29033598,Down regulated,122394733
TMEM178,0.0436554,0.50862436,Down regulated,
TGFB2,0.0436622,0.45288863,Down regulated,728358
PDIA4,0.0436697,0.44995161,Down regulated,111089941
WNT6,0.0437303,0.27707145,Down regulated,111089941
G3BP1,0.0437441,0.19616133,Down regulated,100130932
FTHL17,0.0438627,0.28393122,Down regulated,122394733
GNAI3,0.0438771,0.31363321,Down regulated,122394733
KDSR,0.0439314,0.2417894,Down regulated,111089941
NDUFA11,0.0439325,0.23451221,Down regulated,
IGDCC4,0.0439381,0.50384108,Down regulated,
MPG,0.0439482,0.30743819,Down regulated,113455421
FCHSD2,0.0439529,0.40913983,Down regulated,
COBL,0.0440649,0.31158998,Down regulated,111216276
FIGN,0.044085,0.37847973,Down regulated,122394733
KCNN3,0.0440886,0.40856695,Down regulated,122394733
NUBP2,0.0440988,0.34958337,Down regulated,115482686
C6orf125,0.0441626,0.25256693,Down regulated,
RHOC,0.0441844,0.22738551,Down regulated,115482686
HIGD1B,0.0442227,0.51032268,Down regulated,
PTP4A3,0.0442502,0.41602295,Down regulated,115482686
SLC40A1,0.0442512,0.48296205,Down regulated,113455421
ZNF664,0.0442523,0.30708598,Down regulated,115482686
RNU105A,0.0442728,0.69645053,Down regulated,
ITGA1,0.0444133,0.27795574,Down regulated,111216276
RPL11,0.0444818,0.17308047,Down regulated,100506658
LOC100129826,0.0445396,0.27084504,Down regulated,
GALNTL2,0.0445904,0.55219835,Down regulated,
TMEM120A,0.0446355,0.20493874,Down regulated,111216276
MS4A14,0.0447762,0.37734716,Down regulated,
PAPOLA,0.0447887,0.47012379,Down regulated,115482686
CCDC121,0.0447896,0.29653679,Down regulated,
ZNF285,0.0447942,0.23741728,Down regulated,115482686
ZNF524,0.0448367,0.20778565,Down regulated,115482686
HSP90AA1,0.0448707,0.64560857,Down regulated,100506658
SIRT7,0.0449373,0.29862823,Down regulated,115482686
HNRNPU,0.0449955,0.25390044,Down regulated,100506658
CHCHD4,0.0449975,0.31338599,Down regulated,
RAMP1,0.0450102,0.33159881,Down regulated,
GADD45GIP1,0.0451283,0.280282,Down regulated,113455421
ZC3H10,0.0452253,0.25512742,Down regulated,113455421
UBE2D3,0.0452406,0.29329108,Down regulated,115482686
ZNF765,0.0453185,0.22772638,Down regulated,115482686
CTNND2,0.0453923,0.33614265,Down regulated,115482686
RPL17,0.0454381,0.18982715,Down regulated,115482686
RPS3A,0.0454414,0.17546247,Down regulated,100130932
MIR17HG,0.0454663,0.39962806,Down regulated,
CTSD,0.0457025,0.4451733,Down regulated,728358
RNU105A,0.045718,0.77283287,Down regulated,
POLR3K,0.0457601,0.24451079,Down regulated,113455421
MZT2A,0.0458375,0.33758482,Down regulated,113455421
CD6,0.0458583,0.26914549,Down regulated,
POLR1D,0.0458866,0.2892468,Down regulated,
LOC374443,0.0458931,0.24946979,Down regulated,
