Gene,P.Value,Log FC,expression,CC
RPS27L,0.0042943,0.32115054,Down regulated,115482686
EPHX1,0.0043056,0.44240139,Down regulated,
POLR2F,0.0043436,0.34835097,Down regulated,115482686
IGJ,0.0043522,0.81998833,Down regulated,
PALLD,0.004369,0.85930965,Down regulated,100820829
TPD52L1,0.0043871,0.55926732,Down regulated,122394733
RPS3A,0.0044227,0.26851194,Down regulated,100130932
ZNF420,0.004437,0.28200003,Down regulated,115482686
STIP1,0.0045269,0.73903435,Down regulated,100506658
AHSA1,0.0045542,0.81253117,Down regulated,111089941
IGLL5,0.0045836,2.09217546,Down regulated,113455421
IL7R,0.0046222,0.64407264,Down regulated,113455421
RPL13A,0.0047032,0.36799286,Down regulated,100130932
RRAS,0.0047146,0.54026707,Down regulated,113455421
FBXW4,0.0047636,0.53391272,Down regulated,111240474
ZNF395,0.0047733,0.39072025,Down regulated,115482686
CREB3,0.0049428,0.25506687,Down regulated,115482686
RAB3IP,0.0049749,0.36102849,Down regulated,115482686
C1orf86,0.0050178,0.29065716,Down regulated,
RPS16,0.0050417,0.27799654,Down regulated,64968
RPS29,0.0050472,0.60591804,Down regulated,64968
CPNE1,0.0050675,0.33138386,Down regulated,115482686
ARID5B,0.0050756,0.36200804,Down regulated,115482686
FAM185A,0.0050943,0.45633982,Down regulated,
TPT1,0.0051042,0.37052549,Down regulated,115482686
TSPAN4,0.0051983,0.40765529,Down regulated,389400
HIST1H2APS1,0.005257,0.31917492,Down regulated,
FLNA,0.0053063,0.70214368,Down regulated,100820829
SNHG13,0.0053106,0.59804164,Down regulated,
MED25,0.0053108,0.44073302,Down regulated,115482686
ARHGAP35,0.0053133,0.42189721,Down regulated,115482686
RPS2,0.0053683,0.46323388,Down regulated,115482686
YY1,0.0054091,0.3106812,Down regulated,115482686
KIRREL,0.0054195,0.2529976,Down regulated,
PDE5A,0.0054213,0.50190851,Down regulated,111240474
TRMT112,0.0055137,0.32406836,Down regulated,100506658
ENG,0.0055199,0.53645104,Down regulated,389400
SSFA2,0.0055309,0.49805301,Down regulated,
LOC100130938,0.0055457,0.37846953,Down regulated,
CFI,0.0055649,0.5323212,Down regulated,111216276
DTNA,0.005651,0.75954611,Down regulated,100506658
PLOD1,0.0056633,0.66310306,Down regulated,111089941
ZNF671,0.0056684,0.23508697,Down regulated,115482686
STIP1,0.0057196,0.69426085,Down regulated,100506658
OBFC1,0.0057343,0.32064846,Down regulated,
YBX1,0.0057921,0.48404853,Down regulated,100130932
TRIM47,0.0057981,0.47462059,Down regulated,115482686
C1orf144,0.0059496,0.39483731,Down regulated,
PPM1D,0.0060174,0.54945646,Down regulated,115482686
GLTSCR2,0.0060764,0.41253146,Down regulated,
S100A6,0.0060906,0.90176786,Down regulated,728358
CCDC90A,0.0061227,0.26743151,Down regulated,
IFITM4P,0.0061532,0.64418856,Down regulated,
LOC100130285,0.0061535,0.28933605,Down regulated,
FLJ37505,0.0061545,0.40829188,Down regulated,
TMEM79,0.006213,0.47563509,Down regulated,
RGL2,0.0062645,0.38740928,Down regulated,111240474
ZNF473,0.0063822,0.27643641,Down regulated,115482686
CHDH,0.0064357,0.51794873,Down regulated,
ARL2,0.0064411,0.35401323,Down regulated,115482686
HSPB1,0.0064519,0.58684063,Down regulated,100820829
HTRA2,0.0064837,0.31766389,Down regulated,115482686
MRPL34,0.0066275,0.31808649,Down regulated,
DDIT4L,0.006632,0.66740029,Down regulated,122394733
RPS15A,0.006719,0.32297176,Down regulated,113455421
CALD1,0.006788,0.48045252,Down regulated,111240474
RAN,0.0068326,0.40230724,Down regulated,100506658
VWA1,0.0068382,0.31649367,Down regulated,728358
THAP2,0.0068631,0.5310307,Down regulated,115482686
KHNYN,0.0068651,0.33947104,Down regulated,115482686
ZNF816,0.0068674,0.29719273,Down regulated,115482686
SNX7,0.0069118,0.40842421,Down regulated,
CD44,0.0069247,0.97529954,Down regulated,111240474
MAD2L2,0.0069403,0.33853991,Down regulated,115482686
MIR155HG,0.0069677,0.19430509,Down regulated,
MGAT1,0.0069896,0.44726562,Down regulated,111216276
RHOJ,0.0069935,0.44736527,Down regulated,113455421
RPS2P32,0.0070074,0.4477587,Down regulated,
PHB,0.0070458,0.43374592,Down regulated,
KLF3,0.0070558,0.4105177,Down regulated,113455421
S1PR3,0.0070983,0.8217341,Down regulated,122394733
NFASC,0.0071105,0.4698619,Down regulated,389400
ST8SIA1,0.0071175,0.25688578,Down regulated,
KDELC2,0.007155,0.35777929,Down regulated,
EIF4B,0.007195,0.39436844,Down regulated,111240474
TMEM81,0.0072068,0.24579026,Down regulated,
RALY,0.0072332,0.4211023,Down regulated,115482686
PTPRB,0.0072903,0.39262761,Down regulated,
CCDC107,0.007435,0.25024841,Down regulated,
KIAA0226,0.0074937,0.34061387,Down regulated,
RPS10,0.0076693,0.32968068,Down regulated,113455421
TXNDC12,0.007673,0.35557719,Down regulated,111089941
B4GALT3,0.0076739,0.33907458,Down regulated,111240474
KCNJ8,0.0077374,0.40625231,Down regulated,
MYL6,0.0077772,0.32716566,Down regulated,111240474
LOC100653210,0.0079178,0.91435691,Down regulated,
CEBPG,0.0079687,0.59084308,Down regulated,115482686
ITGB5,0.0080418,0.56255464,Down regulated,113455421
PLOD3,0.0080545,0.5168043,Down regulated,728358
PARP9,0.0080684,0.51474412,Down regulated,100506658
EDA,0.0080959,0.37942606,Down regulated,111216276
PDLIM5,0.0081611,0.35612906,Down regulated,100820829
COL1A2,0.0081615,0.57383694,Down regulated,728358
SORBS1,0.0081636,0.67924326,Down regulated,246176
MRPS6,0.0081837,0.85914979,Down regulated,64968
TBL1X,0.0082164,0.34119002,Down regulated,115482686
TGM2,0.0082502,0.51076048,Down regulated,728358
ABHD4,0.0083317,0.4846427,Down regulated,
FMN2,0.0083353,0.46926796,Down regulated,115482686
KIAA1429,0.0083698,0.21832581,Down regulated,
ANKRD42,0.0083876,0.34909667,Down regulated,115482686
SLC17A5,0.0083916,0.347407,Down regulated,111240474
CPNE1,0.0084076,0.34300065,Down regulated,115482686
ZNF532,0.0084185,0.31954964,Down regulated,115482686
MOB2,0.0084539,0.30641232,Down regulated,115482686
DDIT4L,0.0084584,0.60867683,Down regulated,122394733
FAM96A,0.0085898,0.4221795,Down regulated,
CD47,0.0085939,0.46003067,Down regulated,113455421
FKBP7,0.0086147,0.28058177,Down regulated,111089941
LEPREL1,0.0086803,0.66049291,Down regulated,
RPS14,0.0087318,0.29181575,Down regulated,113455421
CYBRD1,0.0088209,0.49550538,Down regulated,113455421
TMCO3,0.0088379,0.45233283,Down regulated,
TOMM6,0.0088472,0.30170679,Down regulated,
TAP1,0.0089166,0.47883832,Down regulated,111089941
RPSA,0.008972,0.37566434,Down regulated,115482686
PDCD2,0.0089771,0.31286546,Down regulated,115482686
CDK2AP2,0.0089814,0.55345516,Down regulated,115482686
CHST7,0.0089959,0.34118344,Down regulated,
SYNE2,0.0090022,0.30223311,Down regulated,100820829
MYL12A,0.0090209,0.49231987,Down regulated,100820829
CCND3,0.0090727,0.33424555,Down regulated,115482686
CHI3L2,0.0090745,1.05876487,Down regulated,
PRPF38B,0.0092206,0.40548836,Down regulated,
KIAA0930,0.0092353,0.40357653,Down regulated,
